nr,SessionID,Activity,Trial,ROI start,ROI end,Notes
,,nsdj,r1,5.879,6.250,
,,nsdj,r2,5.308,5.746,
,,nsdj,r3,5.179,5.571,
TRT_SIM_S12,592b9a70-4e12-436d-aa8b-fff00fcaf1a3,nrc,l1,6.542,6.875,
,,nrc,l2,5.904,6.271,
,,nrc,l3,5.938,6.263,poor cut
,,nrc,l3_1,5.954,6.362,
,,nrc,r1,8.542,8.867,poor cut
,,nrc,r1_1,5.108,5.683,
,,nrc,r2,4.925,5.325,L/R Synced
,,nrc,r3,5.154,5.467,L/R Synced
,,nsdj,l1,4.921,5.354,
,,nsdj,l2,7.312,7.771,
,,nsdj,l3,5.575,6.004,
,,nsdj,r1,5.546,5.975,
,,nsdj,r2,4.758,5.171,
,,nsdj,r3,5.021,5.446,
