nr,SessionID,Activity,Trial,ROI start,ROI end,Notes
,,csdj,l2,4.60,5.11,
,,csdj,l3,4.61,5.13,
,,csdj,r1,4.61,5.19,
,,csdj,r2,5.07,5.63,
,,csdj,r3,4.46,5.03,
TRT_SIM_S06,573a3c89-7207-4c8c-ad18-24a3ff8aa57f,nrc,l1,4.82,5.19,
,,nrc,l2,,,not synced
,,nrc,l3,5.06,5.38,
,,nrc,r1,5.88,6.20,
,,nrc,r2,5.37,5.72,
,,nrc,r3,5.68,6.03,
,,nsdj,l1,4.69,5.05,
,,nsdj,l2,4.26,4.63,
,,nsdj,l3,4.29,4.67,
,,nsdj,r1,5.06,5.58,
,,nsdj,r1_1,4.54,4.92,
,,nsdj,r2,,,not synced
,,nsdj,r3,4.06,4.43,
,3b9b0a35-eaca-418d-b3a7-3cb3c41387da,nrc,l1,5.11,5.44,
,,nrc,l2,,,not synced
,,nrc,l3,,,C/L Synced
,,nrc,r1,5.58,5.92,
,,nrc,r2,5.06,5.39,
,,nrc,r3,5.16,5.47,
,,nsdj,l1,4.15,4.51,
,,nsdj,l2,4.82,5.17,
,,nsdj,l3,4.37,4.74,
,,nsdj,r1,4.66,5.02,
,,nsdj,r2,4.63,4.99,
,,nsdj,r3,4.39,4.74,
,,crc,l1,5.54,5.88,
,,crc,l2,,,not synced
,,crc,l3,5.63,6.01,
,,crc,r1,5.78,6.13,
,,crc,r2,5.47,5.85,
,,crc,r3,5.88,6.25,
,,csdj,l1,4.88,5.42,
,,csdj,l2,5.41,6.04,
,,csdj,l3,,,missing?
,,csdj,r1,4.27,4.84,
,,csdj,r2,4.86,5.46,
,,csdj,r3,5.33,5.83,
,,csdj,r3_1,4.68,5.19,
,,csdj,r3_2,4.47,5.04,
TRT_SIM_S07,b43efc93-1775-40b0-8bd9-ae6de60280d1,nrc,l1,4.88,5.25,
,,nrc,l2,5.95,6.28,
,,nrc,l3,5.61,5.97,
,,nrc,r1,,,C/L Synced
,,nrc,r2,6.48,6.80,
,,nrc,r3,5.22,5.54,
,,nsdj,l1,4.36,4.85,
,,nsdj,l2,4.43,4.92,
,,nsdj,l3,4.88,5.35,
,,nsdj,r1,4.37,4.90,
,,nsdj,r2,4.60,5.10,
,,nsdj,r3,4.21,4.71,
,1420ae18-4734-4136-bd7a-3cf49292aec6,nrc,l1,5.42,5.78,
,,nrc,l2,4.63,4.95,
,,nrc,l3,5.30,5.64,
,,nrc,r1,5.47,5.82,
,,nrc,r2,,,faulty 
,,nrc,r2_1,5.08,5.38,
,,nrc,r3,4.80,5.10,
,,nsdj,l1,4.25,4.71,
,,nsdj,l2,4.30,4.76,
,,nsdj,l3,4.49,4.94,
,,nsdj,r1,4.32,4.80,
,,nsdj,r2,5.16,5.63,
,,nsdj,r3,4.54,5.05,
,,crc,l1,,,not synced
,,crc,l2,5.01,5.47,
,,crc,l3,,,L/R Synced
,,crc,r1,5.62,6.09,
,,crc,r2,5.54,6.08,
,,crc,r3,6.07,6.51,
,,csdj,l1,5.10,5.59,
,,csdj,l2,4.68,5.28,
,,csdj,l3,5.93,6.49,
,,csdj,r1,4.77,5.45,
,,csdj,r2,,,didnt upload
,,csdj,r2_1,5.07,5.65,
,,csdj,r3,5.25,5.85,
TRT_SIM_08,3043823f-f12b-4c53-8e25-5b506fc64080,nrc,l1,5.60,5.99,
,,nrc,l2,5.04,5.44,
,,nrc,l3,5.77,6.11,
,,nrc,r1,6.12,6.51,
,,nrc,r2,5.04,5.45,
,,nrc,r3,5.55,5.92,
